	base_ID	left_ID	right_ID	triple_ID	answer	answer_log	promptscheme	model	flieds	dataset	sysprompt
0	l00170161	l0010154	l00130457	l0010154l00170161l00130457	"ANSWER:

{""content"": ""POEM_A"",
""style"": ""POEM_A"",
""form"": ""POEM_A"",
""emotion"": ""POEM_A"",
""overall"": ""POEM_A""}"	"['ANSWER:\n\n{""content"": ""POEM_A"",\n""style"": ""POEM_A"",\n""form"": ""POEM_A"",\n""emotion"": ""POEM_A"",\n""overall"": ""POEM_A""}']"	prompts/eng_base_multi_binary.txt	claude-3-5-sonnet-20241022		konsens	default
1	l00130138	l00180069	l0040554	l00180069l00130138l0040554	"ANSWER:

{""content"": ""POEM_A"",
""style"": ""POEM_A"",
""form"": ""POEM_A"",
""emotion"": ""POEM_A"",
""overall"": ""POEM_A""}"	"['ANSWER:\n\n{""content"": ""POEM_A"",\n""style"": ""POEM_A"",\n""form"": ""POEM_A"",\n""emotion"": ""POEM_A"",\n""overall"": ""POEM_A""}']"	prompts/eng_base_multi_binary.txt	claude-3-5-sonnet-20241022		konsens	default
2	l00130210	l00140024	l00140150	l00140024l00130210l00140150	"ANSWER:

{""content"": ""POEM_B"",
""style"": ""POEM_B"",
""form"": ""POEM_A"",
""emotion"": ""POEM_B"",
""overall"": ""POEM_B""}"	"['ANSWER:\n\n{""content"": ""POEM_B"",\n""style"": ""POEM_B"",\n""form"": ""POEM_A"",\n""emotion"": ""POEM_B"",\n""overall"": ""POEM_B""}']"	prompts/eng_base_multi_binary.txt	claude-3-5-sonnet-20241022		konsens	default
3	l0010082	l00130354	l0030174	l00130354l0010082l0030174	"ANSWER:

{""content"": ""POEM_A"",
""style"": ""POEM_A"",
""form"": ""POEM_A"",
""emotion"": ""POEM_A"",
""overall"": ""POEM_A""}"	"['ANSWER:\n\n{""content"": ""POEM_A"",\n""style"": ""POEM_A"",\n""form"": ""POEM_A"",\n""emotion"": ""POEM_A"",\n""overall"": ""POEM_A""}']"	prompts/eng_base_multi_binary.txt	claude-3-5-sonnet-20241022		konsens	default
4	l00200135	l0080305	l00200223	l0080305l00200135l00200223	"ANSWER:

{""content"": ""POEM_A"",
""style"": ""POEM_A"",
""form"": ""POEM_A"",
""emotion"": ""POEM_A"",
""overall"": ""POEM_A""}"	"['ANSWER:\n\n{""content"": ""POEM_A"",\n""style"": ""POEM_A"",\n""form"": ""POEM_A"",\n""emotion"": ""POEM_A"",\n""overall"": ""POEM_A""}']"	prompts/eng_base_multi_binary.txt	claude-3-5-sonnet-20241022		konsens	default
5	l0010172	l00200026	l00130042	l00200026l0010172l00130042	"ANSWER:

{""content"": ""POEM_B"",
""style"": ""POEM_B"",
""form"": ""POEM_B"",
""emotion"": ""POEM_B"",
""overall"": ""POEM_B""}"	"['ANSWER:\n\n{""content"": ""POEM_B"",\n""style"": ""POEM_B"",\n""form"": ""POEM_B"",\n""emotion"": ""POEM_B"",\n""overall"": ""POEM_B""}']"	prompts/eng_base_multi_binary.txt	claude-3-5-sonnet-20241022		konsens	default
6	l0030323	l00200176	l00140156	l00200176l0030323l00140156	"ANSWER:
{
""content"": ""POEM_B"",
""style"": ""POEM_B"",
""form"": ""POEM_A"",
""emotion"": ""POEM_B"",
""overall"": ""POEM_B""
}"	"['ANSWER:\n{\n""content"": ""POEM_B"",\n""style"": ""POEM_B"",\n""form"": ""POEM_A"",\n""emotion"": ""POEM_B"",\n""overall"": ""POEM_B""\n}']"	prompts/eng_base_multi_binary.txt	claude-3-5-sonnet-20241022		konsens	default
7	l00200088	l00130102	l0080046	l00130102l00200088l0080046	"ANSWER:

{""content"": ""POEM_A"",
""style"": ""POEM_A"",
""form"": ""POEM_A"",
""emotion"": ""POEM_A"",
""overall"": ""POEM_A""}"	"['ANSWER:\n\n{""content"": ""POEM_A"",\n""style"": ""POEM_A"",\n""form"": ""POEM_A"",\n""emotion"": ""POEM_A"",\n""overall"": ""POEM_A""}']"	prompts/eng_base_multi_binary.txt	claude-3-5-sonnet-20241022		konsens	default
8	l00200278	l00100009	l0080132	l00100009l00200278l0080132	"ANSWER:

{""content"": ""POEM_B"",
""style"": ""POEM_A"",
""form"": ""POEM_A"",
""emotion"": ""POEM_B"",
""overall"": ""POEM_B""}"	"['ANSWER:\n\n{""content"": ""POEM_B"",\n""style"": ""POEM_A"",\n""form"": ""POEM_A"",\n""emotion"": ""POEM_B"",\n""overall"": ""POEM_B""}']"	prompts/eng_base_multi_binary.txt	claude-3-5-sonnet-20241022		konsens	default
9	l00130384	l0030323	l00160192	l0030323l00130384l00160192	"ANSWER:

{""content"": ""POEM_A"",
""style"": ""POEM_A"",
""form"": ""POEM_A"",
""emotion"": ""POEM_A"",
""overall"": ""POEM_A""}"	"['ANSWER:\n\n{""content"": ""POEM_A"",\n""style"": ""POEM_A"",\n""form"": ""POEM_A"",\n""emotion"": ""POEM_A"",\n""overall"": ""POEM_A""}']"	prompts/eng_base_multi_binary.txt	claude-3-5-sonnet-20241022		konsens	default
