	base_ID	left_ID	right_ID	triple_ID	answer	promptscheme	model	flieds	dataset	sysprompt
0	l00180079	l00140119	l00130204	l00140119l00180079l00130204	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
1	l00140105	l0010038	l0060057	l0010038l00140105l0060057	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
2	l0020093	l0010132	l0090065	l0010132l0020093l0090065	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
3	l0030127	l0040304	l0040520	l0040304l0030127l0040520	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
4	l0010076	l00180047	l00160117	l00180047l0010076l00160117	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
5	l00180017	l00190039	l0080377	l00190039l00180017l0080377	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
6	l0080344	l00170003	l00100009	l00170003l0080344l00100009	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
7	l0080549	l0010012	l0030174	l0010012l0080549l0030174	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
8	l0080026	l00160152	l0080077	l00160152l0080026l0080077	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
9	l0040336	l00130210	l00200340	l00130210l0040336l00200340	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
10	l00130354	l0050031	l00160112	l0050031l00130354l00160112	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
11	l00130122	l0040509	l0030243	l0040509l00130122l0030243	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
12	l00160119	l0090084	l0030052	l0090084l00160119l0030052	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
13	l0030420	l0060056	l00170194	l0060056l0030420l00170194	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
14	l0030305	l00160112	l00170003	l00160112l0030305l00170003	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
15	l00180035	l0030184	l00180166	l0030184l00180035l00180166	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
16	l0080132	l0040505	l00130457	l0040505l0080132l00130457	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
17	l00200278	l0080132	l0020167	l0080132l00200278l0020167	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
18	l00130383	l00130059	l00200186	l00130059l00130383l00200186	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
19	l0010218	l00130378	l0080311	l00130378l0010218l0080311	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
20	l00200088	l00130102	l0080046	l00130102l00200088l0080046	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
21	l0040509	l00130138	l00130070	l00130138l0040509l00130070	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
22	l00100088	l0080026	l0050040	l0080026l00100088l0050040	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
23	l00130210	l00140024	l00140150	l00140024l00130210l00140150	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
24	l0080055	l0010154	l0090086	l0010154l0080055l0090086	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
25	l0010193	l0050064	l0030243	l0050064l0010193l0030243	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
26	l0080503	l00100009	l0040505	l00100009l0080503l0040505	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
27	l00130138	l00180069	l0040554	l00180069l00130138l0040554	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
28	l00160041	l0010193	l00160172	l0010193l00160041l00160172	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
29	l00170019	l0060062	l0080412	l0060062l00170019l0080412	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
30	l0030218	l00180047	l00130204	l00180047l0030218l00130204	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
31	l0010056	l00170225	l0010184	l00170225l0010056l0010184	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
32	l0020119	l0090085	l00200112	l0090085l0020119l00200112	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
33	l00180091	l0080549	l00140066	l0080549l00180091l00140066	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
34	l00180136	l00200253	l0050040	l00200253l00180136l0050040	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
35	l0010172	l00200026	l00130042	l00200026l0010172l00130042	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
36	l0080132	l0030167	l0080493	l0030167l0080132l0080493	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
37	l00130111	l00130354	l00200301	l00130354l00130111l00200301	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
38	l0010300	l0080497	l0080333	l0080497l0010300l0080333	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
39	l0010038	l0030373	l00140105	l0030373l0010038l00140105	ANTWORT: GEDICHT_A	prompts/german_baseline.txt	gpt-4o-mini		testset	default
40	l00180166	l00160262	l0060019	l00160262l00180166l0060019	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
41	l0010154	l00180168	l00200278	l00180168l0010154l00200278	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
42	l00130138	l0040554	l0030431	l0040554l00130138l0030431	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
43	l00130210	l0090086	l00140150	l0090086l00130210l00140150	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
44	l0080412	l00200179	l00130138	l00200179l0080412l00130138	ANTWORT: GEDICHT_B	prompts/german_baseline.txt	gpt-4o-mini		testset	default
