	triple_ID	answer
0	l00140119l00180079l00130204	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_A"",
  ""form"": ""POEM_A"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
1	l0010038l00140105l0060057	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""TIE"",
  ""form"": ""TIE"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""TIE""
}
```"
2	l0010132l0020093l0090065	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_A"",
  ""form"": ""POEM_A"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
3	l0040304l0030127l0040520	"```json
{
  ""content"": ""POEM_B"",
  ""style"": ""POEM_A"",
  ""form"": ""TIE"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_B""
}
```"
4	l00180047l0010076l00160117	"```json
{
  ""content"": ""TIE"",
  ""style"": ""POEM_A"",
  ""form"": ""TIE"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""TIE""
}
```"
5	l00190039l00180017l0080377	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_A"",
  ""form"": ""TIE"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
6	l00170003l0080344l00100009	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_A"",
  ""form"": ""POEM_A"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
7	l0010012l0080549l0030174	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_A"",
  ""form"": ""POEM_A"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
8	l00160152l0080026l0080077	"```json
{
  ""content"": ""POEM_B"",
  ""style"": ""POEM_B"",
  ""form"": ""TIE"",
  ""emotion"": ""POEM_B"",
  ""overall"": ""POEM_B""
}
```"
9	l00130210l0040336l00200340	"```json
{
  ""content"": ""POEM_B"",
  ""style"": ""POEM_B"",
  ""form"": ""TIE"",
  ""emotion"": ""POEM_B"",
  ""overall"": ""POEM_B""
}
```"
10	l0050031l00130354l00160112	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_B"",
  ""form"": ""POEM_A"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""TIE""
}
```"
11	l0040509l00130122l0030243	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_A"",
  ""form"": ""POEM_A"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
12	l0090084l00160119l0030052	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_A"",
  ""form"": ""TIE"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
13	l0060056l0030420l00170194	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_A"",
  ""form"": ""TIE"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
14	l00160112l0030305l00170003	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_A"",
  ""form"": ""POEM_A"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
15	l0030184l00180035l00180166	"```json
{
  ""content"": ""TIE"",
  ""style"": ""TIE"",
  ""form"": ""TIE"",
  ""emotion"": ""TIE"",
  ""overall"": ""TIE""
}
```"
16	l0040505l0080132l00130457	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""TIE"",
  ""form"": ""POEM_B"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
17	l0080132l00200278l0020167	"```json
{
  ""content"": ""POEM_B"",
  ""style"": ""POEM_B"",
  ""form"": ""TIE"",
  ""emotion"": ""POEM_B"",
  ""overall"": ""POEM_B""
}
```"
18	l00130059l00130383l00200186	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_B"",
  ""form"": ""POEM_A"",
  ""emotion"": ""TIE"",
  ""overall"": ""TIE""
}
```"
19	l00130378l0010218l0080311	"```json
{
  ""content"": ""POEM_B"",
  ""style"": ""TIE"",
  ""form"": ""POEM_A"",
  ""emotion"": ""POEM_B"",
  ""overall"": ""POEM_B""
}
```"
20	l00130102l00200088l0080046	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""POEM_A"",
  ""form"": ""POEM_A"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
21	l00130138l0040509l00130070	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""TIE"",
  ""form"": ""POEM_A"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
22	l0080026l00100088l0050040	"```json
{
  ""content"": ""POEM_A"",
  ""style"": ""TIE"",
  ""form"": ""TIE"",
  ""emotion"": ""POEM_A"",
  ""overall"": ""POEM_A""
}
```"
23	l00140024l00130210l00140150	"```json
{
  ""content"": ""TIE"",
  ""style"": ""TIE"",
  ""form"": ""POEM_B"",
  ""emotion"": ""POEM_B"",
  ""overall"": ""TIE""
}
```"
